time, 0.00              ,   1.0000000000E-03,   1.0000000000E-01,   2.0000000000E-01,   3.0000000000E-01,   4.0000000000E-01,   5.0000000000E-01,   6.0000000000E-01,   7.0000000000E-01,   8.0000000000E-01,   9.0000000000E-01,   1.0000000000E+00,   1.1000000000E+00,   1.2000000000E+00,   1.3000000000E+00,   1.4000000000E+00,   1.5000000000E+00,   1.6000000000E+00,   1.7000000000E+00,   1.8000000000E+00,   1.9000000000E+00,   2.0000000000E+00,   2.1000000000E+00,   2.2000000000E+00,   2.3000000000E+00,   2.4000000000E+00,   2.5000000000E+00,   2.6000000000E+00,   2.7000000000E+00,   2.8000000000E+00,   2.9000000000E+00,   3.0000000000E+00,   3.1000000000E+00,   3.2000000000E+00,   3.3000000000E+00,   3.4000000000E+00,   3.5000000000E+00,   3.6000000000E+00,   3.7000000000E+00,   3.8000000000E+00,   3.9000000000E+00,   4.0000000000E+00,   4.1000000000E+00,   4.2000000000E+00,   4.3000000000E+00,   4.4000000000E+00,   4.5000000000E+00,   4.6000000000E+00,   4.7000000000E+00,   4.8000000000E+00,   4.9000000000E+00,   5.0000000000E+00,   5.1000000000E+00,   5.2000000000E+00,   5.3000000000E+00,   5.4000000000E+00,   5.5000000000E+00,   5.6000000000E+00,   5.7000000000E+00,   5.8000000000E+00,   5.9000000000E+00,   6.0000000000E+00,   6.1000000000E+00,   6.2000000000E+00,   6.3000000000E+00,   6.4000000000E+00,   6.5000000000E+00,   6.6000000000E+00,   6.7000000000E+00,   6.8000000000E+00,   6.9000000000E+00,   7.0000000000E+00,   7.1000000000E+00,   7.2000000000E+00,   7.3000000000E+00,   7.4000000000E+00,   7.5000000000E+00,   7.6000000000E+00,   7.7000000000E+00,   7.8000000000E+00,   7.9000000000E+00,   8.0000000000E+00,   8.1000000000E+00,   8.2000000000E+00,   8.3000000000E+00,   8.4000000000E+00,   8.5000000000E+00,   8.6000000000E+00,   8.7000000000E+00,   8.8000000000E+00,   8.9000000000E+00,   9.0000000000E+00,   9.1000000000E+00,   9.2000000000E+00,   9.3000000000E+00,   9.4000000000E+00,   9.5000000000E+00,   9.6000000000E+00,   9.7000000000E+00,   9.8000000000E+00,   9.9000000000E+00,   1.0000000000E+01
eelec,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08,   5.0000000000E-08
eamp,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10,   1.0000000000E-10
eda,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09,   5.0000000000E-09
egen,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05,   1.0000000000E-05
prmax,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04,   2.0000000000E+04
const,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01,   2.0000000000E-01
packet,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00
e,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00
d2,   4.9000000000E+03,   4.8999300003E+03,   4.8930025001E+03,   4.8860100001E+03,   4.8790225002E+03,   4.8720400002E+03,   4.8650625003E+03,   4.8580900003E+03,   4.8511225004E+03,   4.8441600004E+03,   4.8372025005E+03,   4.8302500005E+03,   4.8233025006E+03,   4.8163600006E+03,   4.8094225007E+03,   4.8024900007E+03,   4.7955625008E+03,   4.7886400008E+03,   4.7817225009E+03,   4.7748100009E+03,   4.7679025010E+03,   4.7610000010E+03,   4.7541025011E+03,   4.7472100011E+03,   4.7403225012E+03,   4.7334400012E+03,   4.7265625013E+03,   4.7196900013E+03,   4.7128225014E+03,   4.7059600014E+03,   4.6991025015E+03,   4.6922500015E+03,   4.6854025016E+03,   4.6785600016E+03,   4.6717225017E+03,   4.6648900017E+03,   4.6580625018E+03,   4.6512400018E+03,   4.6444225019E+03,   4.6376100019E+03,   4.6308025020E+03,   4.6240000020E+03,   4.6172025021E+03,   4.6104100021E+03,   4.6036225022E+03,   4.5968400022E+03,   4.5900625023E+03,   4.5832900023E+03,   4.5765225024E+03,   4.5697600024E+03,   4.5630025025E+03,   4.5562500025E+03,   4.5495025026E+03,   4.5427600026E+03,   4.5360225027E+03,   4.5292900027E+03,   4.5225625028E+03,   4.5158400028E+03,   4.5091225029E+03,   4.5024100029E+03,   4.4957025029E+03,   4.4890000030E+03,   4.4823025030E+03,   4.4756100031E+03,   4.4689225031E+03,   4.4622400032E+03,   4.4555625032E+03,   4.4488900033E+03,   4.4422225033E+03,   4.4355600034E+03,   4.4289025034E+03,   4.4222500035E+03,   4.4156025035E+03,   4.4089600036E+03,   4.4023225036E+03,   4.3956900037E+03,   4.3890625037E+03,   4.3824400037E+03,   4.3758225038E+03,   4.3692100038E+03,   4.3626025039E+03,   4.3560000039E+03,   4.3494025040E+03,   4.3428100040E+03,   4.3362225041E+03,   4.3296400041E+03,   4.3230625042E+03,   4.3164900042E+03,   4.3099225043E+03,   4.3033600043E+03,   4.2968025043E+03,   4.2902500044E+03,   4.2837025044E+03,   4.2771600045E+03,   4.2706225045E+03,   4.2640900046E+03,   4.2575625046E+03,   4.2510400047E+03,   4.2445225047E+03,   4.2380100048E+03,   4.2315025048E+03,   4.2250000048E+03
